t,target,theta,err,tau
0.0,0.7853981633974483,0.0003,0.7853981633974483,3.0
0.005,0.7853981633974483,0.0008992528500022072,0.7850981633974483,3.0
0.01,0.7853981633974483,0.0017968661108409313,0.784498910547446,3.0
0.015,0.7853981633974483,0.002991802782804891,0.7836012972866073,3.0
0.02,0.7853981633974483,0.004482882104349162,0.7824063606146434,3.0
0.025,0.7853981633974483,0.006268780420942932,0.7809152812930991,3.0
0.030000000000000002,0.7853981633974483,0.008348032124245959,0.7791293829765054,3.0
0.035,0.7853981633974483,0.01071903066194508,0.7770501312732023,3.0
0.04,0.7853981633974483,0.013380029618711112,0.7746791327355032,3.0
0.045,0.7853981633974483,0.016329143868854756,0.7720181337787372,3.0
0.049999999999999996,0.7853981633974483,0.019564350801366686,0.7690690195285935,3.0
0.05499999999999999,0.7853981633974483,0.02308349161812078,0.7658338125960816,3.0
0.05999999999999999,0.7853981633974483,0.02688427270609948,0.7623146717793275,3.0
0.06499999999999999,0.7853981633974483,0.030964267084565723,0.7585138906913488,3.0
0.06999999999999999,0.7853981633974483,0.035320915928155935,0.7544338963128826,3.0
0.075,0.7853981633974483,0.03995153016690265,0.7500772474692924,3.0
0.08,0.7853981633974483,0.044853292164212466,0.7454466332305456,3.0
0.085,0.7853981633974483,0.05002325747382544,0.7405448712332359,3.0
0.09000000000000001,0.7853981633974483,0.05545835667676441,0.7353749059236229,3.0
0.09500000000000001,0.7853981633974483,0.06115539729924758,0.7299398067206839,3.0
0.10000000000000002,0.7853981633974483,0.06711106581248438,0.7242427660982007,3.0
0.10500000000000002,0.7853981633974483,0.07332192971520318,0.7182870975849639,3.0
0.11000000000000003,0.7853981633974483,0.07978443969967006,0.712076233682245,3.0
0.11500000000000003,0.7853981633974483,0.08649493190185027,0.7056137236977782,3.0
0.12000000000000004,0.7853981633974483,0.09344963023623945,0.698903231495598,3.0
0.12500000000000003,0.7853981633974483,0.10064464881574887,0.6919485331612089,3.0
0.13000000000000003,0.7853981633974483,0.10807599445687076,0.6847535145816994,3.0
0.13500000000000004,0.7853981633974483,0.11573956927017412,0.6773221689405775,3.0
0.14000000000000004,0.7853981633974483,0.12363117333599166,0.6696585941272741,3.0
0.14500000000000005,0.7853981633974483,0.13174650746495334,0.6617669900614567,3.0
0.15000000000000005,0.7853981633974483,0.14008117604280376,0.653651655932495,3.0
0.15500000000000005,0.7853981633974483,0.14863068995871026,0.6453169873546445,3.0
0.16000000000000006,0.7853981633974483,0.15739046961602585,0.6367674734387381,3.0
0.16500000000000006,0.7853981633974483,0.16635584802422002,0.6280076937814224,3.0
0.17000000000000007,0.7853981633974483,0.17552207397042893,0.6190423153732283,3.0
0.17500000000000007,0.7853981633974483,0.18488431526880952,0.6098760894270193,3.0
0.18000000000000008,0.7853981633974483,0.19443766208560764,0.6005138481286387,3.0
0.18500000000000008,0.7853981633974483,0.20417713033757354,0.5909605013118406,3.0
0.19000000000000009,0.7853981633974483,0.21409766516107734,0.5812210330598747,3.0
0.1950000000000001,0.7853981633974483,0.2241941444489963,0.571300498236371,3.0
0.2000000000000001,0.7853981633974483,0.2344613824521657,0.561204018948452,3.0
0.2050000000000001,0.7853981633974483,0.24489413344190772,0.5509367809452825,3.0
0.2100000000000001,0.7853981633974483,0.25548709542987935,0.5405040299555406,3.0
0.2150000000000001,0.7853981633974483,0.26623491394121385,0.5299110679675689,3.0
0.2200000000000001,0.7853981633974483,0.2771321858366702,0.5191632494562344,3.0
0.22500000000000012,0.7853981633974483,0.2881734631792565,0.5082659775607781,3.0
0.23000000000000012,0.7853981633974483,0.29935325714055344,0.49722470021819176,3.0
0.23500000000000013,0.7853981633974483,0.31066604194173875,0.48604490625689484,3.0
0.24000000000000013,0.7853981633974483,0.3221062588241022,0.47473212145570953,3.0
0.24500000000000013,0.7853981633974483,0.3336683200436442,0.46329190457334607,3.0
0.2500000000000001,0.7853981633974483,0.345346612884173,0.45172984335380406,3.0
0.2550000000000001,0.7853981633974483,0.3571355036831546,0.44005155051327527,3.0
0.2600000000000001,0.7853981633974483,0.36902934186442904,0.42826265971429367,3.0
0.2650000000000001,0.7853981633974483,0.38102246397178635,0.41636882153301924,3.0
0.27000000000000013,0.7853981633974483,0.3931091976972966,0.4043756994256619,3.0
0.27500000000000013,0.7853981633974483,0.4052838658982119,0.3922889657001517,3.0
0.28000000000000014,0.7853981633974483,0.4175407905962055,0.38011429749923636,3.0
0.28500000000000014,0.7853981633974483,0.42987429695268137,0.36785737280124275,3.0
0.29000000000000015,0.7853981633974483,0.4422787172138826,0.3555238664447669,3.0
0.29500000000000015,0.7853981633974483,0.45474839461954475,0.34311944618356566,3.0
0.30000000000000016,0.7853981633974483,0.46727768726887997,0.33064976877790353,3.0
0.30500000000000016,0.7853981633974483,0.47986097193774574,0.3181204761285683,3.0
0.31000000000000016,0.7853981633974483,0.49249264784093894,0.30553719145970254,3.0
0.31500000000000017,0.7853981633974483,0.5051549184961663,0.29290551555650934,2.87778162496446
0.3200000000000002,0.7853981633974483,0.5178229081806016,0.28024324490128194,2.6841761948919354
0.3250000000000002,0.7853981633974483,0.5304721164739771,0.26757525521684666,2.4934700661204694
0.3300000000000002,0.7853981633974483,0.5430784610424775,0.2549260469234712,2.3059857086470092
0.3350000000000002,0.7853981633974483,0.5556183187062884,0.2423197023549708,2.1220341871045125
0.3400000000000002,0.7853981633974483,0.5680685647281859,0.22977984469115986,1.9419147507100847
0.3450000000000002,0.7853981633974483,0.5804066102679708,0.21732959866926238,1.7659144574112398
0.3500000000000002,0.7853981633974483,0.5926104379550569,0.20499155312947748,1.5943078321679804
0.3550000000000002,0.7853981633974483,0.6046586355390505,0.19278772544239142,1.4273565591855395
0.3600000000000002,0.7853981633974483,0.616530427585652,0.18073952785839775,1.2653092077967323
0.3650000000000002,0.7853981633974483,0.6282057051926101,0.16886773581179626,1.1084009915847677
0.3700000000000002,0.7853981633974483,0.6396650537077084,0.15719245820483818,0.9568535602376069
0.3750000000000002,0.7853981633974483,0.6508897784378103,0.14573310968973985,0.8108748235343042
0.3800000000000002,0.7853981633974483,0.6618619283447825,0.13450838495963802,0.6706588067823513
0.38500000000000023,0.7853981633974483,0.6725643177306193,0.12353623505266575,0.5363855369533164
0.39000000000000024,0.7853981633974483,0.6829805459202515,0.11283384566682897,0.40822095870202224
0.39500000000000024,0.7853981633974483,0.6930950149563262,0.1024176174771968,0.2863168794020927
0.40000000000000024,0.7853981633974483,0.7028929453256437,0.09230314844112208,0.1708109422878641
0.40500000000000025,0.7853981633974483,0.7123603897419251,0.08250521807180455,0.061826626758962666
0.41000000000000025,0.7853981633974483,0.7214842450141381,0.07303777365552322,-0.04052672512091271
0.41500000000000026,0.7853981633974483,0.7302522620337221,0.06391391838331018,-0.13615385691591375
0.42000000000000026,0.7853981633974483,0.7386530539177141,0.05514590136372621,-0.22497352189417696
0.42500000000000027,0.7853981633974483,0.7466761023480032,0.046745109479734204,-0.3069183838830345
0.43000000000000027,0.7853981633974483,0.7543117621497143,0.03872206104944509,-0.381934895893023
0.4350000000000003,0.7853981633974483,0.7615512641540779,0.031086401247733986,-0.44998315748932005
0.4400000000000003,0.7853981633974483,0.7683867163930785,0.023846899243370356,-0.5110367518730811
0.4450000000000003,0.7853981633974483,0.7748111036747142,0.01701144700436974,-0.5650825636145228
0.4500000000000003,0.7853981633974483,0.780818285588871,0.010587059722734105,-0.6121205779552622
