iter,err_norm,smin,smax,cond
0,0.07071067811865477,3.4937402913565814e-17,0.6199110921055249,inf
1,0.03647442124148937,0.002635701832750914,0.641218632202129,243.28193129982438
2,0.020961965641723444,0.003404451207045098,0.6512454674842618,191.29234871587775
3,0.01494482459917166,0.00329044135485605,0.6560552622496536,199.38214710359262
4,0.013061297749118118,0.002859714394571329,0.658395678998604,230.23127073404737
5,0.012549590232845886,0.0023624585098755203,0.6595445506377027,279.17719946432186
6,0.01241390550427418,0.0018987695040848238,0.6601118078264173,347.6524172135262
7,0.012375550176919322,0.001501976554446783,0.6603932743688802,439.6828115683339
8,0.012363072834557174,0.0011767672656180005,0.6605337013248886,561.312096812956
9,0.01235815568509137,0.0009165515271411327,0.6606042689818105,720.7497335609033
10,0.012355836686793268,0.0007112581570739127,0.6606400921078098,928.8330622817128
11,0.012354603855788234,0.0005506749314419433,0.660658541064435,1199.725107032745
12,0.012353906051200274,0.0004257265882553601,0.6606682351359128,1551.8604037472744
13,0.012353499621389772,0.00032882573824175303,0.6606734688813028,2009.1902550389016
14,0.012353259991447669,0.00025383228596348564,0.6606763945478862,2602.806778657487
15,0.012353117988803867,0.00019586942371489904,0.6606780998090093,3373.0537787800413
16,0.012353033664420563,0.00015110677745242478,0.6606791409609494,4372.266764599363
17,0.012352983548297863,0.00011655638838781608,0.6606798073639124,5668.327721048148
18,0.012352953752752242,8.989732709294757e-05,0.6606802530463363,7349.275828448592
19,0.012352936035920796,6.933158283221845e-05,0.6606805625243714,9529.287166617989
20,0.012352925500654402,5.346858373278686e-05,0.6606807839537678,12356.429473718026
21,0.012352919235741198,4.123401040603204e-05,0.6606809459968453,16022.718612405348
22,0.012352915510205993,3.1798430349385904e-05,0.6606810665266891,20777.15972981818
23,0.012352913294745645,2.4521750501196686e-05,0.6606811572077207,26942.658811224705
24,0.012352911977277947,1.891012969279209e-05,0.6606812259700309,34937.95318716722
25,0.012352911193818988,1.4582627977556176e-05,0.6606812783912427,45306.050418901425
26,0.012352910727919011,1.124542757055797e-05,0.6606813184997281,58751.107003657205
27,0.012352910450862165,8.671923554468267e-06,0.6606813492627586,76186.25154073666
28,0.012352910286104583,6.687356228897786e-06,0.6606813728970627,98795.60027654705
29,0.012352910188128006,5.1569531864783595e-06,0.6606813910751055,128114.6768614123
30,0.012352910129864203,3.976781568955599e-06,0.6606814050673467,166134.69802437705
31,0.012352910095216574,3.066692065665353e-06,0.660681415843383,215437.80780612573
32,0.012352910074612377,2.3648768389010606e-06,0.6606814241455555,279372.44480459666
