iter,err_norm,smin,smax,cond
33,0.012352910062359952,1.8236724581911294e-06,0.6606814305434523,362280.75254191825
34,0.01235291005507376,1.4063231332697304e-06,0.6606814354747644,469793.4776473928
35,0.012352910050740743,1.0844845846580672e-06,0.6606814392761737,609212.3840418473
36,0.012352910048164157,8.362991077408446e-07,0.6606814422068487,790006.1546060898
37,0.012352910046631962,6.44911135817555e-07,0.6606814444663903,1024453.4599776188
38,0.012352910045720599,4.973225064746896e-07,0.6606814462085774,1328476.8688468789
39,0.012352910045178762,3.8350969594381713e-07,0.6606814475519146,1722724.2349791913
40,0.012352910044856495,2.9574307279666985e-07,0.6606814485877417,2233971.001721401
41,0.012352910044664857,2.2806193895838068e-07,0.6606814493864682,2896938.666767351
42,0.012352910044551137,1.7586970807217343e-07,0.6606814500023759,3756652.9065440046
43,0.012352910044483238,1.3562172779806432e-07,0.6606814504773154,4871501.500563725
44,0.012352910044442904,1.0458454290521556e-07,0.6606814508435543,6317199.77437131
45,0.012352910044418911,8.065025260461716e-08,0.6606814511259731,8191932.818424299
46,0.012352910044404617,6.219335156031236e-08,0.6606814513437564,10623023.76007276
47,0.012352910044396233,4.796033305895117e-08,0.6606814515116978,13775580.972292481
48,0.012352910044391126,3.6984556888984875e-08,0.6606814516412044,17863711.4302693
49,0.012352910044388163,2.852059940979271e-08,0.6606814517410723,23165061.93464586
50,0.01235291004438636,2.1993628155793088e-08,0.6606814518180851,30039675.452276964
51,0.012352910044385181,1.6960361650082054e-08,0.6606814518774733,38954443.632059984
52,0.012352910044384638,1.3078963721404729e-08,0.66068145192327,50514816.46378559
53,0.01235291004438423,1.0085828172434499e-08,0.6606814519585861,65505919.85735882
54,0.0123529100443841,7.777675039691917e-09,0.66068145198582,84945880.17809373
55,0.01235291004438396,5.9977454279431985e-09,0.6606814520068214,110154967.3863681
56,0.01235291004438384,4.625154533672651e-09,0.6606814520230165,142845270.83647424
57,0.012352910044383764,3.5666827841678292e-09,0.6606814520355055,185236953.21832618
58,0.012352910044383892,2.7504434531684017e-09,0.6606814520451362,240209065.66323236
59,0.012352910044383695,2.1210013683926864e-09,0.6606814520525631,311495061.6713809
60,0.012352910044383792,1.6356078412545701e-09,0.6606814520582902,403936344.2715729
61,0.012352910044383698,1.2612970832447353e-09,0.6606814520627067,523811131.2864359
62,0.01235291004438379,9.726478723384147e-10,0.6606814520661124,679260676.8138188
63,0.012352910044383783,7.500562683256919e-10,0.6606814520687387,880842518.0467334
64,0.012352910044383747,5.78405011490994e-10,0.660681452070764,1142247108.764982
65,0.012352910044383674,4.4603642889227753e-10,0.6606814520723259,1481227561.8677938
66,0.012352910044383603,3.43960497732904e-10,0.6606814520735304,1920806186.8388445
67,0.012352910044383705,2.65244716903379e-10,0.660681452074459,2490837366.291922
68,0.012352910044383734,2.0454316812082526e-10,0.6606814520751751,3230034315.7142525
69,0.012352910044383743,1.577332507149261e-10,0.6606814520757275,4188599734.559379
70,0.012352910044383688,1.2163574671934683e-10,0.6606814520761535,5431638888.200852
71,0.01235291004438377,9.379931754070684e-11,0.6606814520764819,7043563529.017796
72,0.012352910044383695,7.23332347053595e-11,0.6606814520767352,9133857413.786892
73,0.012352910044383755,5.577968570703271e-11,0.6606814520769304,11844481439.837723
74,0.012352910044383764,4.3014492013885536e-11,0.660681452077081,15359508415.531351
75,0.012352910044383669,3.317056888346051e-11,0.6606814520771973,19917700368.612785
76,0.012352910044383818,2.5579395915289077e-11,0.6606814520772867,25828657340.668095
77,0.012352910044383693,1.97255155233407e-11,0.660681452077356,33493748302.577362
78,0.012352910044383747,1.5211276597134794e-11,0.6606814520774091,43433662379.254585
79,0.012352910044383719,1.1730261333993747e-11,0.6606814520774503,56322824638.42698
