iter,err_norm,smin,smax,cond
0,0.08660254037844389,0.25552227251517196,0.5811660292960394,2.274424157140869
1,0.044023215529690025,0.259080929448187,0.6081097557903691,2.3471806940231916
2,0.02255898376284626,0.2599865298245775,0.623618678250457,2.3986576484221533
3,0.01158548035867482,0.26017723038718255,0.6320108336263643,2.4291550520613887
4,0.00595422530084309,0.26019922575888366,0.6364432265607407,2.4459843210698384
5,0.003061244105730817,0.2601898792703789,0.6387572621779308,2.4549658271456436
6,0.001574334485017155,0.2601794800302198,0.6399584062622261,2.459680548934509
7,0.0008098703138491809,0.2601726074678909,0.6405800892134318,2.462135024312614
8,0.0004167271621833334,0.2601686498359181,0.6409014005080611,2.463407489381452
9,0.00021448876222804233,0.26016649285301063,0.6410673545167527,2.464065789128903
10,0.00011042603514092286,0.26016534649947615,0.6411530419510353,2.4644060040191644
11,5.686561740626566e-05,0.26016474466193856,0.641197280059638,2.464581743744019
