t,truth_theta,meas_theta,fit_theta
3.1,-0.014165,-0.02972,-0.014
3.12,-0.007313,-0.004164,-0.007209
3.14,-0.000418,-0.001529,-0.000378
3.16,0.006053,-0.006364,0.006029
3.18,0.011741,-0.013373,0.011653
3.2,0.016485,0.021858,0.016333
3.22,0.020362,0.017246,0.020148
3.24,0.023659,0.018109,0.023384
3.26,0.026781,0.024308,0.026447
3.28,0.030121,0.049143,0.029731
3.3,0.033932,0.033411,0.033489
3.32,0.038241,0.039148,0.037747
3.34,0.042826,0.027254,0.042286
3.36,0.047279,0.06453,0.046695
3.38,0.051121,0.060729,0.050499
3.4,0.053955,0.065128,0.053298
3.42,0.055585,0.056084,0.054897
3.44,0.056081,0.065681,0.055369
3.46,0.055759,0.059644,0.055027
3.48,0.055075,0.061496,0.054328
3.5,0.054472,0.052878,0.053716
3.52,0.054233,0.038798,0.053474
3.54,0.05438,0.065154,0.053623
3.56,0.054665,0.034402,0.053916
3.58,0.054657,0.052144,0.053921
3.6,0.053895,0.051753,0.053177
3.62,0.052056,0.041135,0.051361
3.64,0.04908,0.055501,0.048413
3.66,0.045203,0.043105,0.044568
3.68,0.040878,0.036303,0.040281
3.7,0.036624,0.042068,0.036069
3.72,0.032837,0.027847,0.032329
3.74,0.029652,0.044197,0.029194
3.76,0.026896,0.030577,0.026491
3.78,0.024164,0.019197,0.023815
3.8,0.020982,0.000621,0.02069
3.82,0.017003,0.003309,0.016772
3.84,0.012162,0.023544,0.011993
3.86,0.006713,0.006183,0.006606
3.88,0.001145,-0.00182,0.001102
3.9,-0.004,0.013208,-0.003979
3.92,-0.008338,-0.02177,-0.008253
3.94,-0.01179,-0.017923,-0.011641
3.96,-0.014607,-0.019556,-0.014396
3.98,-0.017258,-0.011117,-0.016986
