regime,trial,mass,length,damping,gravity,final_theta_deg,peak_torque,success
nominal_only,81,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,82,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,83,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,84,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,85,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,86,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,87,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,88,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,89,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,90,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,91,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,92,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,93,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,94,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,95,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,96,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,97,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,98,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,99,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,100,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,101,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,102,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,103,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,104,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,105,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,106,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,107,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,108,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,109,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,110,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,111,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,112,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,113,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,114,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,115,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,116,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,117,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,118,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,119,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,120,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,121,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,122,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,123,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,124,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,125,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,126,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,127,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,128,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,129,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,130,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,131,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,132,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,133,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,134,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,135,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,136,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,137,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,138,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,139,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,140,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,141,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,142,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,143,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,144,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,145,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,146,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,147,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,148,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,149,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,150,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,151,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,152,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,153,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,154,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,155,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,156,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,157,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,158,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,159,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,160,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,161,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,162,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,163,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,164,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,165,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,166,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,167,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,168,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,169,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,170,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,171,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,172,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,173,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,174,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,175,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,176,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,177,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,178,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,179,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,180,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,181,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,182,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,183,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,184,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,185,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,186,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,187,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,188,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,189,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,190,1.0,0.5,0.1,9.81,45.0,8.0,1
